"LOCATION","tags"
"The Hammock Hotel Fine Arts Museum","art,hammock,museum,stay,comfort,hotel,room,traveler,member,instagram"
"New World Saigon Hotel","hotel,fine,business,luxury,park,room,dining,sweeping,marble,modernity"
"Brand New Cozy Home at the heart of SG","couple,soft,style,traveler,term,worker,accent,check,cafés,color"
"Loan Vo Hostel","room,budget,traveler,day,area,street,basic,student,tip,storage"
"Rex Hotel","hotel,walk,facade,train,tranquil,occasion,professional,english,timeless,western"
"Hotel Majestic Saigon","hotel,river,view,french,stay,house,marble,majestic,appeal,step"
"Lotte Hotel Saigon","hotel,business,luxury,house,room,saigon,international,glass,accent,speak"
"Fusion Suites Saigon","suite,eco,wellness,conscious,park,room,traveler,toiletry,material,calm"
"ibis Saigon Airport","airport,hotel,ibis,flight,convenience,traveler,business,comfort,international,layover"
"The Airport Hotel","airport,hotel,free,practical,room,short,access,traveler,stay,basic"
"TTC Hotel - Airport","airport,hotel,ttc,stay,service,need,tan,business,cater,guest"
"Suoi Tien Theme Park","park,ride,tien,suoi,buddhist,theme,culture,thrill,amusement,festival"
"Dam Sen Park","park,dam,sen,lake,outdoor,family,expansive,animal,coaster,bench"
"Amazing Bay","bay,amazing,water,park,slide,relax,pool,activity,day,family"
"Nguyen Hue Walking Street","street,walking,hue,nguyen,beautifully,performance,people,area,come,cultural"
"Landmark 81","landmark,view,tall,building,river,mall,modern,luxury,city,park"
"23/9 Park","park,outdoor,jog,tree,green,morning,urban,vendor,spot,come"
"Saigon River Tour","river,tour,cruise,way,saigon,city,view,landscape,skyline,dinner"
"Snow Town Saigon","snow,winter,town,park,hot,tropical,ice,heat,indoor,fun"
"Vietopia","child,vietopia,park,fun,kid,teamwork,learn,skill,interactive,educational"
"tiNiWorld","tiniworld,child,play,center,fun,kid,interactive,educational,game,family"
"HCMC Opera House (HBSO)","opera,performance,house,cultural,ballet,admire,venue,city,colonial,building"
"Chill Sky Bar","bar,chill,sky,view,night,rooftop,set,light,stunning,allow"
"Bui Vien Street","street,vien,bui,nightlife,club,quieter,backpacker,night,bar,entertainment"
"Club V E-Gaming","gaming,club,player,gamer,esport,game,lounge,station,experience,casual"
"Monte-Carlo Saigon","carlo,monte,casino,entertainment,elegant,class,saigon,complex,luxurious,night"
"Pho 2000","pho,restaurant,meal,vietnamese,broth,want,time,place,tourist,taste"
"Nha Hang Ngon","ngon,hang,nha,vietnamese,restaurant,menu,fresh,dining,dish,air"
"Banh Mi Huynh Hoa","sandwich,bánh,mì,hoa,huynh,mi,banh,shop,city,quick"
"The Workshop Coffee","coffee,workshop,café,brew,cup,place,work,lover,quality,good"
"Café de Saigon1982","coffee,café,treat,vietnamese,traditional,peaceful,great,quality,sweet,sip"
"Bun Rieu Ganh","rieu,bun,ganh,broth,meal,vietnamese,crab,comfort,dish,flavor"
"Bun Rieu Nguyen Canh Chan","rieu,bun,canh,chan,nguyen,restaurant,crab,taste,broth,meal"
"Singapore Frog Porridge Tan Dinh","frog,porridge,dinh,singaporean,singapore,tan,restaurant,dish,try,tender"
"Banh Mi Bui Thi Xuan","sandwich,bánh,mì,thi,xuan,mi,bui,banh,crispy,bread"
"Dim Tu Tac","dim,tu,tac,sum,chinese,restaurant,prepare,freshly,dining,time"
"Quince Saigon","quince,mediterranean,restaurant,wine,element,fine,prepare,meal,dining,stylish"
"Kappou Nishiyama","japanese,kappou,nishiyama,restaurant,dining,cooking,intimate,sushi,experience,chef"
"Pho Phu Vuong","pho,vuong,phu,beef,restaurant,craving,bowl,broth,noodle,herb"
"Xoi Ga Number One","ga,number,xoi,xôi,gà,chicken,dish,sticky,flavorful,fried"
"Kabin","kabin,cantonese,restaurant,chinese,dining,sum,dim,dish,cuisine,refined"
"Lagom Café - Belgian Beer & Coffee Lounge","café,beer,coffee,lagom,belgian,brew,light,menu,rich,spot"
"Pho Bo Phu Gia","pho,gia,bo,phu,beef,bowl,restaurant,broth,herb,noodle"
"Bo Kho Ganh","kho,bo,stew,ganh,beef,restaurant,dish,hearty,tender,broth"
"Ho Chi Minh City Post Office","post,office,building,admire,colonial,hall,city,historical,beauty,landmark"
"Tao Dan Park","park,dan,tao,peaceful,tree,morning,large,maintain,beautiful,open"
"Book Street","book,street,literary,literature,conversation,charming,post,office,lover,small"
"Notre-Dame Cathedral Basilica of Saigon","cathedral,dame,notre,catholic,architecture,exterior,peaceful,religious,window,architectural"
"Nha Rong Wharf","wharf,rong,nha,vietnam,river,museum,history,independence,role,historical"
"Independence Palace","palace,independence,room,south,fall,vietnam,history,reunification,office,historical"
"Saigon Zoo and Botanical Gardens","zoo,animal,botanical,garden,plant,flower,educational,environment,bed,tropical"
"Museum of Vietnamese History","museum,history,vietnam,exhibit,ancient,artifact,vietnamese,country,heritage,historical"
"Cu Chi Tunnels","tunnel,cu,war,cong,wartime,understand,site,living,educational,vietnam"
"Ba Thien Hau Temple","temple,chinese,hau,thien,ba,community,incense,chinatown,cholon,worship"
"Jade Emperor Pagoda","temple,jade,emperor,pagoda,peace,reflection,striking,deity,spiritual,religious"
"Ba Chieu Market","market,chieu,ba,daily,resident,traditional,produce,product,vietnamese,fresh"
"Ben Thanh Market","market,ben,thanh,stall,souvenir,produce,vietnamese,daily,fresh,local"
"Aeon Mall","aeon,mall,shopping,entertainment,phu,fashion,large,tan,beauty,cuisine"
"Takashimaya Vietnam","store,takashimaya,shopping,japanese,product,fashion,vietnam,centre,retail,item"
"Diamond Plaza","diamond,plaza,mall,shopping,luxury,product,entertainment,shopper,combine,store"
"Saigon Square","square,shopping,accessory,fashion,price,market,saigon,mall,electronic,clothing"
"The Cafe Apartments","cafe,apartment,building,unique,culture,boutique,coffee,relax,look,watch"
"Big C Hoang Van Thu","big,thu,hoang,van,supermarket,product,household,shopping,need,grocery"
"Tan Dinh Market","market,dinh,tan,local,fruit,fresh,vendor,surround,home,explore"
"Tan Son Nhat International Airport","airport,flight,nhat,son,passenger,tan,international,terminal,connect,city"
"Saigon Railway Station","station,railway,train,city,journey,saigon,point,starting,travel,link"
"Mien Dong Bus Station","bus,station,mien,dong,travel,vietnam,relatively,eastern,depart,province"
"Mien Tay Bus Station","tay,mien,bus,station,travel,terminal,vietnam,city,southwestern,tho"
"An Suong Bus Station","suong,bus,station,travel,transportation,traveler,village,town,departure,southern"
"Ben Thanh Bus Hub","bus,hub,ben,thanh,city,route,transport,travel,ho,chi"
"Cho Lon Bus Station","lon,cho,station,bus,travel,cholon,southwestern,delta,mekong,short"
"Ben Thanh Metro Station","metro,station,ben,thanh,line,transportation,city,key,construction,traffic"
"Suoi Tien Metro Station","metro,tien,suoi,station,eastern,city,line,key,transportation,transport"
